step	elapsed_tokens	elapsed_examples	training_loss	training_sequence_accuracy	training_token_accuracy
334	97464	1336	0.030190932570505542	1.0	1.0
335	97820	1340	0.027153801684714627	0.75	0.7777777777777778
336	98112	1344	0.038839489260070775	0.75	0.7692307692307693
337	98276	1348	0.05505233581706124	0.5	0.8461538461538461
338	98728	1352	0.06384240654091108	0.25	0.6
339	98892	1356	0.027619729714962887	1.0	1.0
340	99152	1360	0.022729688319172964	1.0	1.0
341	99412	1364	0.04158854809850709	0.5	0.75
342	99576	1368	0.02864754430054563	1.0	1.0
343	99996	1372	0.04303906391752976	0.5	0.6666666666666666
344	100192	1376	0.10324978060743133	0.5	0.8
345	100900	1380	0.026885079565669746	0.5	0.8235294117647058
346	101096	1384	0.05129062754921202	0.5	0.8461538461538461
347	101484	1388	0.030394436934160083	0.5	0.7272727272727273
348	101808	1392	0.028705432145321085	0.75	0.9166666666666666
349	102068	1396	0.046547408849028214	0.25	0.7272727272727273
350	102360	1400	0.02834632873290401	0.75	0.9090909090909091
351	102780	1404	0.07403193156725627	0.5	0.6842105263157895
352	103008	1408	0.04888176023059454	0.75	0.8181818181818182
353	103204	1412	0.02825792201290218	1.0	1.0
354	103432	1416	0.04515856129983669	0.75	0.8888888888888888
355	103628	1420	0.023013417741440206	1.0	1.0
356	103792	1424	0.03587259585823631	1.0	1.0
357	104084	1428	0.07989469551178949	0.0	0.6896551724137931
358	104344	1432	0.04419711570955769	0.5	0.8461538461538461
359	104572	1436	0.060791570773586226	0.5	0.7142857142857143
360	104768	1440	0.08101968137587619	0.75	0.7333333333333333
361	105060	1444	0.03543290395962686	0.25	0.6363636363636364
362	105320	1448	0.026372707702012117	1.0	1.0
363	105548	1452	0.035245391047815086	0.5	0.7777777777777778
364	105808	1456	0.0471146147122454	0.5	0.7
365	106100	1460	0.04139547317853536	0.5	0.8333333333333334
366	106296	1464	0.05057006483558629	0.75	0.8888888888888888
367	106524	1468	0.04684031671320554	0.5	0.8333333333333334
368	106784	1472	0.0349862530425753	1.0	1.0
369	106980	1476	0.020321085390408673	1.0	1.0
370	107272	1480	0.03626058509296451	0.5	0.8181818181818182
371	107500	1484	0.055202472237963644	0.5	0.8181818181818182
372	107824	1488	0.048946172358934295	0.75	0.75
373	108052	1492	0.0321238725276271	0.75	0.9
374	108344	1496	0.06240179146181416	0.25	0.7333333333333333
375	108604	1500	0.05069963105259831	0.5	0.8461538461538461
376	108896	1504	0.05664174622612942	0.75	0.75
377	109124	1508	0.02382554881604717	1.0	1.0
378	109320	1512	0.03269455356358776	1.0	1.0
379	110348	1516	0.01830799458589723	0.75	0.7692307692307693
380	110544	1520	0.04807211949620977	0.5	0.8181818181818182
381	110996	1524	0.05556421756735356	0.25	0.7333333333333333
382	111192	1528	0.031662856328956275	0.75	0.9090909090909091
383	111356	1532	0.07565021128877925	0.5	0.8181818181818182
384	111552	1536	0.046433692347147816	0.5	0.8181818181818182
385	112708	1540	0.012856369740926287	0.75	0.8
386	113128	1544	0.046365739691655805	0.5	0.6
387	113548	1548	0.042634174149341016	0.5	0.6428571428571429
388	113840	1552	0.04401773891950951	0.5	0.8666666666666667
389	114164	1556	0.025701530455720645	1.0	1.0
390	114424	1560	0.04438754920704924	0.25	0.5833333333333334
391	114748	1564	0.03870949001115423	0.75	0.8181818181818182
392	114912	1568	0.026121148255391746	1.0	1.0
393	115140	1572	0.0666166728710297	0.5	0.6666666666666666
394	115528	1576	0.0509857919974911	0.5	0.8
395	115724	1580	0.050358090814843305	0.5	0.75
396	116080	1584	0.028902970082628068	0.5	0.8461538461538461
397	116372	1588	0.04333519540640743	0.5	0.7894736842105263
398	116664	1592	0.02723589706379749	0.5	0.75
399	116956	1596	0.033707884136234094	0.75	0.9166666666666666
400	117152	1600	0.02979892415152487	0.75	0.875
401	117316	1604	0.0354207220186072	1.0	1.0
402	117640	1608	0.030248119662319373	0.75	0.9
403	118028	1612	0.027499607487962596	0.75	0.875
404	118320	1616	0.034034063140485765	0.75	0.8333333333333334
405	118868	1620	0.02882618620287223	0.5	0.7857142857142857
406	119192	1624	0.018286269143629397	1.0	1.0
407	119420	1628	0.0250920069617093	0.75	0.8888888888888888
408	119872	1632	0.015269689585684644	1.0	1.0
409	120036	1636	0.09915044560687239	0.5	0.7777777777777778
410	120360	1640	0.0979981203284151	0.25	0.7222222222222222
411	120812	1644	0.0357090439073493	0.5	0.7857142857142857
412	121264	1648	0.023390058753180454	0.75	0.9
413	121524	1652	0.014649101688337397	1.0	1.0
414	121912	1656	0.03479479861181465	0.75	0.9166666666666666
415	122268	1660	0.0319509259030846	0.5	0.7777777777777778
416	122560	1664	0.023204797762357177	1.0	1.0
417	122724	1668	0.03804837012693315	0.75	0.9230769230769231
418	123400	1672	0.014942015427727929	0.75	0.8571428571428571
419	123884	1676	0.031118746914826943	0.25	0.75
420	124176	1680	0.037430152960438744	0.75	0.875
421	124532	1684	0.033079155744115844	0.25	0.8235294117647058
422	124888	1688	0.038864358904541985	0.25	0.7142857142857143
423	125276	1692	0.0576355789226333	0.5	0.6896551724137931
424	125600	1696	0.03657198617271752	0.25	0.7
425	125860	1700	0.036724361762885564	0.5	0.8
426	126152	1704	0.03756576359612559	0.5	0.8571428571428571
427	126412	1708	0.03276022921566067	0.75	0.9090909090909091
428	126608	1712	0.053717508332673934	0.5	0.7777777777777778
429	126932	1716	0.0977489351281456	0.5	0.5555555555555556
430	127160	1720	0.04509525927403176	0.75	0.8333333333333334
431	127452	1724	0.026347549961384276	1.0	1.0
432	127776	1728	0.027390225970266323	0.5	0.8333333333333334
433	127940	1732	0.02524807396337201	1.0	1.0
434	128200	1736	0.036604774667016504	0.75	0.8
435	128428	1740	0.09044358503862766	0.25	0.6666666666666666
436	128656	1744	0.04289687466445424	0.75	0.8181818181818182
437	128916	1748	0.040793732773092874	0.75	0.8
438	129272	1752	0.01709182115608697	1.0	1.0
439	129628	1756	0.019628973128575044	1.0	1.0
440	130112	1760	0.049258660964427076	0.75	0.7857142857142857
441	130372	1764	0.03321793416522269	0.5	0.7272727272727273
442	130536	1768	0.08128906423254012	0.75	0.75
443	130700	1772	0.02412822333212535	1.0	1.0
444	130864	1776	0.08430041401013295	0.5	0.7272727272727273
445	131348	1780	0.02255796528069429	0.5	0.7692307692307693
446	131544	1784	0.03834699862757891	0.5	0.8666666666666667
447	131868	1788	0.06862778293000679	0.25	0.7647058823529411
448	132096	1792	0.020011418827066335	1.0	1.0
449	132356	1796	0.07433329783551246	0.25	0.6875
450	132584	1800	0.0377788226404482	0.75	0.7777777777777778
451	132844	1804	0.026175534320561272	0.75	0.9090909090909091
452	133104	1808	0.030860495777774163	0.75	0.9411764705882353
453	133524	1812	0.016018074302343078	1.0	1.0
454	133752	1816	0.04968663643482485	0.5	0.8666666666666667
455	134076	1820	0.021649711527095862	1.0	1.0
456	134336	1824	0.023064239889822605	1.0	1.0
457	134692	1828	0.028276392502001813	0.5	0.8181818181818182
458	134984	1832	0.021864307534232366	1.0	1.0
459	135244	1836	0.06813410845604267	0.5	0.5833333333333334
460	135568	1840	0.027969981097612617	0.5	0.7777777777777778
461	135796	1844	0.07728766822489987	0.5	0.8333333333333334
462	135992	1848	0.022200769041567887	1.0	1.0
463	136252	1852	0.06781128493563357	0.5	0.8260869565217391
464	136480	1856	0.026618248442677468	1.0	1.0
465	136676	1860	0.03819203073775801	0.75	0.8333333333333334
466	137000	1864	0.04299296791711958	0.75	0.7272727272727273
467	137196	1868	0.06469072955992032	0.5	0.7058823529411765
468	137488	1872	0.018708899746707176	1.0	1.0
469	137716	1876	0.043018578355113926	0.25	0.6666666666666666
470	137912	1880	0.05817023909238591	0.75	0.9
471	138172	1884	0.03368635920962902	0.5	0.8181818181818182
472	138400	1888	0.022841864031319607	1.0	1.0
473	138628	1892	0.046649669351702734	0.5	0.8461538461538461
474	138888	1896	0.06476493045669884	0.5	0.6875
475	139180	1900	0.03423397424777149	0.75	0.8333333333333334
476	139504	1904	0.036281064509490986	0.75	0.8666666666666667
477	140052	1908	0.03372711189056431	0.75	0.6666666666666666
478	140280	1912	0.05060228394427084	0.25	0.6363636363636364
479	140668	1916	0.024836202188043333	0.25	0.8125
480	140960	1920	0.0668810993922893	0.25	0.7058823529411765
481	141220	1924	0.02436785605617388	0.75	0.875
482	141672	1928	0.017416950386920656	0.75	0.9166666666666666
483	141868	1932	0.03510830118394855	0.75	0.8181818181818182
484	142160	1936	0.024013250644923878	0.75	0.9090909090909091
485	142388	1940	0.04342434183453016	0.5	0.625
486	142552	1944	0.02055452129560217	1.0	1.0
487	142844	1948	0.05108396099570655	0.5	0.8
488	143328	1952	0.019954539189300704	0.75	0.9090909090909091
489	143524	1956	0.0466281779642668	0.75	0.8333333333333334
490	143784	1960	0.04390836390260461	0.5	0.7777777777777778
491	144108	1964	0.03780284462889904	0.75	0.8571428571428571
492	144400	1968	0.03947238165193893	0.5	0.8181818181818182
493	144596	1972	0.030633407576381916	0.75	0.875
494	144792	1976	0.021036146595021513	1.0	1.0
495	145084	1980	0.05020130665402058	0.25	0.7894736842105263
496	145408	1984	0.06553239291654973	0.25	0.6666666666666666
497	145604	1988	0.047975205628861955	0.75	0.8666666666666667
498	145896	1992	0.04236096559507739	0.75	0.8333333333333334
499	146252	1996	0.027337495912807878	0.5	0.8333333333333334
500	146448	2000	0.037037600718564746	0.75	0.9090909090909091
501	146836	2004	0.028612104608943506	0.5	0.8333333333333334
502	147256	2008	0.04216883573258428	0.0	0.3
503	147612	2012	0.044894784878186184	0.5	0.8
504	147872	2016	0.03214751830102273	0.5	0.8181818181818182
